Customer_ID,Age,Gender,Location,Tenure,Contract_Type,Subscription_Plan,Monthly_Charges,Total_Charges,Payment_Method,Internet_Service,Login_Frequency,Support_Tickets,Complaints,Avg_Session_Duration,Days_Since_Last_Login,Actual_Churn,Churn_Probability,Predicted_Churn
CUST132046,72.0,Male,Delhi,71.0,Two Year,Standard,840.19,60912.42,Credit Card,Fiber,0.0,1.0,0.0,36.1,69.0,1,0.49349323,0
CUST103982,23.0,Male,Delhi,15.0,One Year,Standard,812.32,11435.27,Cash,Fiber,15.0,6.0,1.0,48.4,89.0,0,0.8653848,1
CUST125740,27.0,Female,Delhi,7.0,One Year,Basic,383.91,3048.46,Debit Card,DSL,10.0,0.0,1.0,26.3,29.0,0,0.04297347,0
CUST103133,62.0,Female,Delhi,70.0,Month-to-Month,Basic,466.24,33085.49,Debit Card,Fiber,14.0,2.0,0.0,72.3,38.0,0,0.025916573,0
CUST133607,66.0,Male,Pune,39.0,Two Year,Standard,844.41,28370.61,Auto Debit,Fiber,11.0,3.0,1.0,22.6,47.0,0,0.75444114,1
CUST104731,71.0,Male,Mumbai,,Month-to-Month,Standard,827.54,58557.87,Auto Debit,DSL,9.0,7.0,3.0,44.1,5.0,1,0.91537327,1
CUST113898,59.0,Male,Pune,67.0,Month-to-Month,Basic,451.97,28491.9,Auto Debit,Mobile Data,10.0,4.0,0.0,50.9,66.0,0,0.022569139,0
CUST122362,31.0,Male,Kochi,53.0,Month-to-Month,Basic,456.78,27214.48,Debit Card,Cable,5.0,2.0,1.0,34.2,23.0,0,0.034961753,0
CUST129519,21.0,Male,Kolkata,33.0,Two Year,Standard,672.9,19825.74,UPI,Fiber,24.0,2.0,0.0,,76.0,0,0.08513799,0
CUST129848,31.0,Female,Kochi,42.0,Month-to-Month,Premium,1229.41,50480.78,Cash,Fiber,17.0,7.0,2.0,5.0,64.0,1,0.9767566,1
CUST137813,60.0,Male,Hyderabad,9.0,One Year,Basic,523.39,4318.66,Auto Debit,Cable,16.0,0.0,0.0,44.2,31.0,0,0.018668279,0
CUST129444,31.0,Male,Jaipur,11.0,Month-to-Month,Basic,584.52,6164.72,Credit Card,Fiber,16.0,4.0,0.0,30.6,43.0,0,0.048918683,0
CUST142724,64.0,Female,Hyderabad,41.0,One Year,Standard,905.83,38749.26,Auto Debit,,4.0,1.0,1.0,5.8,30.0,0,0.8681024,1
CUST127142,37.0,Female,Chennai,72.0,Two Year,Standard,847.93,53766.7,UPI,DSL,6.0,3.0,2.0,33.5,7.0,1,0.74559665,1
CUST100267,43.0,Male,Mumbai,57.0,Month-to-Month,Basic,629.89,34121.75,UPI,DSL,15.0,1.0,1.0,34.8,64.0,0,0.06389326,0
CUST129905,24.0,Male,Pune,,Month-to-Month,Standard,716.1,45537.95,Net Banking,DSL,3.0,3.0,1.0,51.8,74.0,0,0.5983264,1
CUST113673,33.0,Male,Kochi,4.0,One Year,Basic,492.81,2229.21,Debit Card,DSL,11.0,1.0,1.0,35.3,17.0,0,0.0351509,0
CUST144734,42.0,Male,Delhi,36.0,Two Year,Premium,1174.52,36404.44,UPI,Fiber,6.0,3.0,1.0,33.7,71.0,1,0.9786846,1
CUST113713,64.0,Male,Mumbai,17.0,Month-to-Month,Premium,1250.49,19529.23,Auto Debit,Fiber,8.0,4.0,1.0,,23.0,1,0.96772736,1
CUST122974,73.0,Male,Kolkata,36.0,Two Year,Basic,415.52,14263.77,Net Banking,Fiber,17.0,2.0,1.0,72.1,64.0,0,0.025205553,0
CUST111998,67.0,Male,Chennai,71.0,Month-to-Month,Basic,341.97,25887.54,Debit Card,Cable,17.0,3.0,1.0,35.3,11.0,0,0.012090249,0
CUST141830,40.0,Female,Delhi,53.0,Two Year,Basic,471.32,27137.5,Net Banking,Cable,9.0,3.0,0.0,40.1,68.0,0,0.025820365,0
CUST123514,73.0,Male,Pune,32.0,Two Year,Standard,687.31,,Auto Debit,Mobile Data,12.0,0.0,0.0,45.5,87.0,0,0.24613895,0
CUST128639,54.0,Female,Kolkata,70.0,Month-to-Month,Standard,649.16,51276.83,Debit Card,Cable,5.0,1.0,0.0,35.7,83.0,0,0.06679611,0
CUST134716,48.0,Male,Kolkata,18.0,Month-to-Month,Standard,660.28,10605.52,Credit Card,Cable,13.0,0.0,0.0,37.5,72.0,0,0.15523885,0
CUST121564,54.0,Female,Delhi,60.0,Month-to-Month,Premium,1190.24,64329.51,Debit Card,DSL,11.0,1.0,0.0,43.9,40.0,1,0.96459067,1
CUST120405,31.0,Male,Mumbai,23.0,One Year,Basic,,11986.66,Auto Debit,Fiber,10.0,4.0,0.0,66.5,45.0,0,0.2987988,0
CUST102687,32.0,Female,Ahmedabad,21.0,Month-to-Month,Premium,1081.46,20453.36,Debit Card,Fiber,10.0,3.0,0.0,40.1,35.0,1,0.9615213,1
CUST125671,54.0,Other,Kochi,47.0,Month-to-Month,Basic,514.08,27000.47,UPI,Cable,19.0,4.0,1.0,5.0,83.0,0,0.033555903,0
CUST120319,70.0,Female,Bengaluru,22.0,Two Year,Premium,1137.28,24766.48,Net Banking,Fiber,14.0,1.0,1.0,33.5,31.0,1,0.95011306,1
CUST114140,59.0,Male,Mumbai,55.0,One Year,Premium,1307.6,61657.97,Cash,Cable,19.0,1.0,0.0,48.8,32.0,1,0.9583113,1
CUST139343,73.0,Male,Mumbai,25.0,Month-to-Month,Basic,514.26,13050.7,Net Banking,Fiber,4.0,1.0,1.0,31.4,1.0,0,0.039651275,0
CUST105753,24.0,Female,Bengaluru,11.0,Month-to-Month,Premium,1081.86,11422.84,UPI,Mobile Data,16.0,4.0,1.0,37.2,40.0,1,0.9702355,1
CUST100089,62.0,Male,Jaipur,20.0,Month-to-Month,Basic,452.45,9307.1,Credit Card,DSL,14.0,2.0,2.0,25.1,9.0,0,0.020153496,0
CUST136173,34.0,Male,Ahmedabad,39.0,Two Year,Basic,368.36,16428.5,Net Banking,Cable,14.0,3.0,1.0,10.9,53.0,0,0.03696114,0
CUST128247,38.0,Female,Chennai,38.0,One Year,Standard,824.5,35413.68,UPI,,15.0,1.0,1.0,58.8,37.0,0,0.3811532,0
CUST113323,59.0,Female,Chennai,8.0,Month-to-Month,Premium,1166.68,8458.61,Net Banking,DSL,11.0,2.0,2.0,37.8,61.0,1,0.9701746,1
CUST109033,55.0,Female,Delhi,2.0,Month-to-Month,Basic,437.96,860.55,Debit Card,Fiber,13.0,5.0,0.0,49.3,49.0,0,0.028794874,0
CUST132312,66.0,Female,Mumbai,5.0,Month-to-Month,Premium,1097.27,5498.53,UPI,,16.0,0.0,0.0,,28.0,1,0.9538133,1
CUST116229,71.0,Female,Hyderabad,34.0,Month-to-Month,Premium,1176.16,43152.77,Cash,Mobile Data,7.0,2.0,2.0,27.7,77.0,1,0.97477144,1
CUST135522,54.0,Male,Hyderabad,41.0,Two Year,Standard,730.49,27053.2,Auto Debit,Fiber,11.0,4.0,0.0,66.1,55.0,1,0.23656105,0
CUST145813,69.0,Male,Bengaluru,69.0,Month-to-Month,Premium,1291.3,90122.29,Net Banking,Fiber,6.0,3.0,0.0,22.8,48.0,1,0.9757036,1
CUST135098,49.0,Male,Delhi,37.0,Month-to-Month,Standard,801.45,31612.0,Net Banking,DSL,10.0,4.0,0.0,43.3,46.0,1,0.6784545,1
CUST110353,32.0,Male,Ahmedabad,5.0,Month-to-Month,Standard,755.81,3361.77,Debit Card,Cable,11.0,0.0,2.0,26.7,79.0,0,0.5426196,1
CUST111370,42.0,Other,Kolkata,40.0,One Year,Basic,575.01,20536.24,UPI,Cable,2.0,2.0,0.0,35.8,6.0,0,0.037011277,0
CUST121398,68.0,Male,Mumbai,54.0,Month-to-Month,Standard,814.83,46477.85,UPI,DSL,14.0,2.0,1.0,32.8,3.0,0,0.3424433,0
CUST129720,45.0,Male,Kochi,10.0,Two Year,Basic,523.19,4944.86,Debit Card,Cable,17.0,0.0,1.0,36.9,31.0,0,0.023428388,0
CUST112018,63.0,Female,Delhi,60.0,Two Year,Standard,956.03,58897.64,Net Banking,DSL,13.0,2.0,0.0,88.9,81.0,1,0.92664945,1
CUST114617,62.0,Female,Bengaluru,21.0,Month-to-Month,Standard,727.0,16244.66,Auto Debit,DSL,7.0,0.0,0.0,67.3,88.0,0,0.51805454,1
CUST140767,42.0,Male,Hyderabad,13.0,Month-to-Month,Basic,717.36,10432.71,Credit Card,Fiber,,4.0,1.0,43.3,84.0,0,0.6277778,1
CUST137805,67.0,Male,Jaipur,,Month-to-Month,Basic,636.67,26002.4,,Cable,8.0,5.0,,70.4,43.0,1,0.11330334,0
CUST136799,56.0,Female,Chennai,28.0,Month-to-Month,Basic,199.0,6187.39,Net Banking,Fiber,4.0,2.0,1.0,22.9,22.0,0,0.015574403,0
CUST106326,26.0,Male,Ahmedabad,34.0,Month-to-Month,Premium,1125.08,40737.31,Cash,DSL,12.0,4.0,0.0,5.0,72.0,1,0.96109617,1
CUST119349,22.0,Female,Pune,15.0,One Year,Standard,935.25,13889.68,Debit Card,DSL,23.0,0.0,2.0,41.9,10.0,1,0.7628754,1
CUST111032,74.0,Female,Chennai,17.0,One Year,Standard,743.31,14153.05,UPI,Mobile Data,15.0,1.0,0.0,31.6,3.0,0,0.1774483,0
CUST114364,43.0,Female,Jaipur,59.0,One Year,Basic,267.12,17196.86,Auto Debit,Cable,8.0,0.0,0.0,39.6,58.0,0,0.04217832,0
CUST127854,41.0,Male,Kochi,66.0,One Year,Standard,783.23,47171.32,Net Banking,DSL,5.0,2.0,0.0,56.0,89.0,0,0.58491486,1
CUST130328,39.0,Female,Delhi,22.0,Month-to-Month,Premium,1382.44,34476.31,Auto Debit,DSL,14.0,5.0,0.0,29.6,17.0,1,0.95946795,1
CUST132225,72.0,Female,Mumbai,67.0,Two Year,Premium,1244.49,73169.56,Net Banking,Fiber,13.0,2.0,0.0,32.2,49.0,1,0.96280766,1
CUST128694,18.0,Female,Pune,63.0,Month-to-Month,Basic,479.3,27809.75,UPI,,11.0,3.0,1.0,14.1,84.0,0,0.025957508,0
CUST117558,68.0,Male,Chennai,45.0,Month-to-Month,Basic,551.73,25758.4,Credit Card,Mobile Data,16.0,1.0,0.0,52.5,7.0,0,0.018595673,0
CUST127126,64.0,Male,Kolkata,8.0,One Year,Standard,670.11,5943.13,UPI,Fiber,17.0,3.0,2.0,23.6,2.0,0,0.09369177,0
CUST104766,26.0,Male,Bengaluru,35.0,One Year,Premium,1018.39,36941.38,Credit Card,Fiber,13.0,0.0,2.0,20.4,41.0,1,0.95673,1
CUST146117,47.0,Female,Mumbai,21.0,One Year,Standard,671.49,13179.24,UPI,Mobile Data,12.0,0.0,1.0,31.1,89.0,1,0.3044469,0
CUST124526,44.0,Female,Kolkata,7.0,One Year,Standard,824.76,5515.3,Auto Debit,Fiber,7.0,2.0,2.0,47.2,7.0,1,0.8589793,1
CUST135582,68.0,Male,Kochi,41.0,Month-to-Month,Standard,575.91,24912.79,Credit Card,Fiber,18.0,3.0,0.0,51.0,70.0,0,0.022662254,0
CUST128559,56.0,Female,Ahmedabad,43.0,,Basic,468.08,20555.28,UPI,Mobile Data,13.0,1.0,0.0,57.2,90.0,0,0.022555899,0
CUST143642,19.0,Male,Chennai,72.0,One Year,Basic,420.23,29197.81,Debit Card,,20.0,2.0,1.0,21.1,77.0,0,0.035924755,0
CUST119527,71.0,Female,Mumbai,4.0,Two Year,Standard,891.44,4034.25,Auto Debit,Mobile Data,0.0,1.0,3.0,52.0,59.0,1,0.96143115,1
CUST140199,19.0,Male,Mumbai,9.0,Month-to-Month,Standard,844.84,6568.21,Credit Card,DSL,13.0,5.0,1.0,43.1,41.0,0,0.8931248,1
CUST114848,46.0,Male,Kochi,43.0,Month-to-Month,Premium,984.06,44684.63,UPI,Fiber,5.0,4.0,1.0,51.0,8.0,1,0.9700143,1
CUST144546,34.0,Male,Delhi,67.0,Month-to-Month,Standard,908.68,65458.14,Cash,,20.0,0.0,0.0,77.5,45.0,0,0.5604395,1
CUST128893,56.0,Male,Kochi,55.0,Month-to-Month,Basic,532.18,25733.29,Auto Debit,Fiber,3.0,5.0,1.0,24.3,45.0,0,0.050029963,0
CUST125681,72.0,Female,Delhi,67.0,Month-to-Month,Basic,498.9,33177.05,UPI,DSL,15.0,1.0,0.0,41.8,3.0,0,0.020890692,0
CUST105318,24.0,Male,Hyderabad,59.0,Month-to-Month,Basic,386.25,21555.21,Credit Card,Mobile Data,2.0,4.0,1.0,39.7,35.0,1,0.045029566,0
CUST107353,39.0,Male,Jaipur,53.0,One Year,Basic,393.45,19164.63,Auto Debit,Fiber,10.0,1.0,1.0,46.5,20.0,0,0.018932885,0
CUST108902,66.0,Female,Hyderabad,70.0,Month-to-Month,Standard,697.48,42860.27,Auto Debit,Mobile Data,12.0,5.0,1.0,52.2,8.0,0,0.065230295,0
CUST121146,42.0,Male,Bengaluru,69.0,Month-to-Month,Standard,856.87,67868.87,UPI,,9.0,3.0,1.0,46.9,19.0,1,0.7438298,1
CUST136779,48.0,Male,Kochi,52.0,Month-to-Month,Premium,1166.61,60342.36,Cash,,8.0,2.0,0.0,28.6,56.0,1,0.9718236,1
CUST132307,53.0,Female,Chennai,21.0,Month-to-Month,Basic,410.68,9242.01,UPI,Cable,7.0,2.0,3.0,62.5,40.0,0,0.027128313,0
CUST131821,68.0,Male,Bengaluru,67.0,Month-to-Month,Premium,1126.07,69774.63,UPI,DSL,12.0,,0.0,39.4,18.0,1,0.961831,1
CUST100646,37.0,Female,Delhi,41.0,Month-to-Month,Premium,1216.56,46685.25,Auto Debit,Cable,17.0,2.0,1.0,43.2,59.0,1,0.965007,1
CUST103197,31.0,Male,Hyderabad,36.0,Month-to-Month,Basic,613.64,24388.4,Auto Debit,Mobile Data,7.0,2.0,0.0,44.5,74.0,0,0.061837118,0
CUST115161,26.0,Female,Hyderabad,52.0,Month-to-Month,Basic,367.87,20383.33,Net Banking,DSL,2.0,1.0,0.0,17.5,7.0,0,0.039838992,0
CUST136049,35.0,Female,Ahmedabad,37.0,One Year,Standard,662.7,27708.05,Cash,Mobile Data,9.0,0.0,0.0,27.9,86.0,0,0.18612725,0
CUST109808,68.0,Female,Pune,55.0,Two Year,Standard,775.39,40477.63,Credit Card,Fiber,13.0,4.0,0.0,8.2,16.0,0,0.16134231,0
CUST105608,52.0,Male,Bengaluru,66.0,Two Year,Standard,736.84,52358.99,Net Banking,Fiber,15.0,5.0,0.0,59.4,16.0,0,0.116087675,0
CUST112189,28.0,Female,Pune,17.0,Month-to-Month,Basic,579.25,10440.89,Credit Card,Fiber,12.0,2.0,0.0,38.4,3.0,0,0.03145981,0
CUST122146,68.0,Other,Kochi,45.0,Month-to-Month,Premium,1127.2,45095.02,Credit Card,Fiber,13.0,1.0,1.0,49.8,78.0,1,0.9635704,1
CUST117035,31.0,Male,Jaipur,51.0,Two Year,Premium,1256.3,66821.48,UPI,Cable,11.0,1.0,2.0,64.7,53.0,1,0.9580473,1
CUST144658,57.0,Female,Bengaluru,23.0,One Year,Premium,1148.98,29013.24,Net Banking,DSL,20.0,3.0,1.0,61.1,8.0,1,0.9572808,1
CUST141846,51.0,Female,Ahmedabad,,One Year,Basic,,9327.55,Debit Card,Cable,,4.0,0.0,42.8,12.0,0,0.15141235,0
CUST128766,59.0,Female,Kolkata,2.0,Month-to-Month,Premium,1287.95,2211.49,UPI,Fiber,1.0,2.0,0.0,38.1,36.0,1,0.97159415,1
CUST106376,68.0,Male,Hyderabad,13.0,Two Year,Premium,1071.8,14647.71,Net Banking,Fiber,16.0,3.0,0.0,44.9,69.0,1,0.96075284,1
CUST133251,51.0,Female,Mumbai,72.0,Month-to-Month,Standard,771.77,62571.5,Auto Debit,Fiber,13.0,3.0,1.0,28.7,53.0,1,0.38476112,0
CUST137643,37.0,Male,Jaipur,58.0,Two Year,Basic,663.75,38072.58,Credit Card,,15.0,2.0,0.0,67.1,13.0,0,0.034147922,0
CUST120954,46.0,Male,Kolkata,13.0,Month-to-Month,Premium,978.18,11896.52,UPI,Cable,17.0,3.0,2.0,38.8,64.0,1,0.9751381,1
CUST130207,48.0,Male,Delhi,48.0,One Year,Standard,857.05,37232.49,Auto Debit,Fiber,5.0,2.0,1.0,46.6,14.0,1,0.86978954,1
CUST104158,35.0,Female,Pune,69.0,Month-to-Month,Basic,392.42,29650.18,Debit Card,Cable,11.0,3.0,0.0,37.3,32.0,0,0.020768719,0
CUST117918,18.0,Female,Chennai,63.0,Two Year,Basic,496.22,34340.43,Net Banking,Cable,12.0,4.0,1.0,61.4,70.0,0,0.021749044,0
CUST138608,71.0,Female,Mumbai,67.0,Month-to-Month,Basic,529.61,31611.27,Net Banking,DSL,20.0,2.0,0.0,36.1,78.0,0,0.01332101,0
CUST139233,54.0,Female,Pune,3.0,Month-to-Month,Basic,536.82,1561.72,Auto Debit,Fiber,18.0,2.0,1.0,62.3,82.0,0,0.041230083,0
CUST141885,40.0,Male,Kochi,7.0,Month-to-Month,Standard,883.09,6082.64,Debit Card,Fiber,23.0,5.0,0.0,42.8,1.0,0,0.7196746,1
CUST133295,71.0,Female,Kochi,19.0,One Year,Standard,840.42,14970.01,Credit Card,Cable,0.0,2.0,0.0,34.1,80.0,1,0.9378866,1
CUST135436,50.0,Female,Delhi,37.0,Month-to-Month,Basic,615.87,24114.85,UPI,Fiber,11.0,3.0,1.0,24.9,50.0,0,0.073732734,0
CUST126803,28.0,Female,Kolkata,3.0,One Year,Standard,737.6,1923.76,UPI,Fiber,13.0,1.0,2.0,45.3,6.0,0,0.29466242,0
CUST129438,19.0,Male,Chennai,43.0,Two Year,Premium,1320.21,54449.0,UPI,Cable,11.0,1.0,0.0,45.5,3.0,1,0.9426506,1
CUST100996,54.0,Male,Kolkata,25.0,Month-to-Month,Premium,1134.8,24260.78,Credit Card,Fiber,15.0,2.0,1.0,47.9,23.0,1,0.9646775,1
CUST142115,62.0,Male,Delhi,13.0,Month-to-Month,Premium,1130.05,14632.16,Debit Card,,13.0,3.0,1.0,53.2,7.0,1,0.9684012,1
CUST139524,50.0,Male,Mumbai,36.0,Month-to-Month,Basic,624.58,20467.26,Net Banking,DSL,6.0,2.0,0.0,63.5,83.0,0,0.07750768,0
CUST113857,24.0,Female,Kolkata,25.0,Month-to-Month,Basic,552.44,13168.54,UPI,Mobile Data,18.0,0.0,0.0,5.0,83.0,0,0.062762946,0
CUST140593,48.0,Female,Kolkata,56.0,Month-to-Month,Standard,689.09,34680.18,Net Banking,DSL,12.0,2.0,0.0,45.3,48.0,0,0.08087138,0
CUST133364,53.0,Female,Kolkata,54.0,One Year,Basic,492.95,26617.91,UPI,DSL,1.0,0.0,0.0,48.1,45.0,0,0.030319363,0
CUST104252,40.0,Female,Kochi,70.0,Month-to-Month,Premium,1311.13,91275.17,Net Banking,Fiber,14.0,2.0,0.0,29.4,31.0,1,0.9661039,1
CUST127498,27.0,Male,Kolkata,5.0,Month-to-Month,Basic,554.96,2628.95,Debit Card,DSL,7.0,3.0,1.0,66.2,41.0,0,0.04592552,0
CUST108294,19.0,Male,Mumbai,59.0,One Year,Basic,456.52,24652.99,UPI,Cable,15.0,4.0,0.0,37.6,74.0,0,0.01685467,0
CUST111971,57.0,Female,Hyderabad,20.0,Month-to-Month,Basic,516.84,11710.19,UPI,DSL,5.0,3.0,1.0,52.7,83.0,0,0.030733014,0
CUST120604,51.0,Other,Hyderabad,39.0,One Year,Basic,586.78,24098.86,UPI,DSL,10.0,2.0,2.0,39.4,9.0,0,0.04909355,0
CUST124975,56.0,Female,Pune,31.0,Two Year,Basic,692.38,20437.65,Cash,,11.0,2.0,2.0,15.5,71.0,0,0.31713054,0
CUST131266,25.0,Male,Pune,1.0,Month-to-Month,Basic,552.68,515.11,Net Banking,Fiber,19.0,1.0,0.0,50.1,51.0,0,0.028463973,0
CUST140626,45.0,Male,Delhi,33.0,Two Year,Premium,1414.78,40775.16,Auto Debit,,14.0,4.0,2.0,63.7,19.0,1,0.9760566,1
CUST146014,64.0,Male,Bengaluru,21.0,One Year,Basic,481.77,11513.45,Debit Card,DSL,8.0,2.0,1.0,29.0,87.0,0,0.026942482,0
CUST102486,38.0,Male,Pune,35.0,One Year,Basic,658.36,26077.53,Credit Card,Fiber,17.0,2.0,1.0,42.4,12.0,0,0.057978183,0
CUST116237,31.0,Female,Mumbai,69.0,Two Year,Premium,1190.56,72059.94,Auto Debit,Cable,18.0,6.0,1.0,71.5,5.0,1,0.98021173,1
CUST132006,31.0,Male,Pune,13.0,Two Year,Basic,510.47,7173.6,Credit Card,Fiber,7.0,2.0,1.0,51.0,0.0,0,0.028221976,0
CUST109126,33.0,Male,Kochi,21.0,Month-to-Month,Basic,431.13,9337.11,Cash,,17.0,3.0,1.0,36.4,45.0,0,0.023091475,0
CUST122977,45.0,Female,Kochi,41.0,Month-to-Month,Basic,567.86,21340.25,UPI,DSL,14.0,1.0,1.0,53.6,33.0,0,0.039144803,0
CUST121026,27.0,Female,Kochi,60.0,Month-to-Month,Standard,878.64,53638.24,UPI,DSL,19.0,3.0,0.0,41.0,34.0,0,0.6110587,1
CUST106751,60.0,Male,Bengaluru,8.0,One Year,Basic,419.6,3268.59,Cash,Cable,9.0,4.0,0.0,20.1,83.0,0,0.014870682,0
CUST140450,68.0,Female,Mumbai,50.0,One Year,Standard,723.07,34161.88,Debit Card,Mobile Data,7.0,0.0,1.0,58.8,,0,0.157821,0
CUST145820,40.0,Female,Bengaluru,33.0,Month-to-Month,Standard,931.89,29797.36,UPI,Fiber,11.0,3.0,2.0,15.8,36.0,1,0.9446637,1
CUST138626,63.0,,,64.0,Month-to-Month,Premium,1187.7,73032.23,Debit Card,Fiber,8.0,3.0,1.0,41.1,4.0,1,0.9667224,1
CUST114612,44.0,Female,Bengaluru,11.0,Month-to-Month,Basic,534.74,5271.65,UPI,,11.0,1.0,1.0,62.7,74.0,0,0.063179985,0
CUST117084,18.0,Male,Bengaluru,35.0,Month-to-Month,Premium,1158.08,44743.3,UPI,Fiber,10.0,2.0,0.0,36.7,7.0,1,0.9543155,1
CUST144404,71.0,Female,Chennai,62.0,Month-to-Month,Premium,1222.58,81514.79,UPI,Fiber,20.0,1.0,1.0,5.0,74.0,1,0.95140606,1
CUST134645,71.0,Male,Chennai,37.0,Month-to-Month,Basic,584.28,18597.28,Auto Debit,Fiber,11.0,0.0,1.0,38.4,34.0,0,0.04111098,0
CUST142122,71.0,Male,Delhi,58.0,One Year,Premium,1117.12,64857.33,UPI,Fiber,12.0,5.0,2.0,5.0,44.0,1,0.9433393,1
CUST117764,72.0,Male,Mumbai,9.0,Month-to-Month,Premium,1140.44,11059.93,Auto Debit,,17.0,1.0,1.0,49.0,13.0,1,0.9731933,1
CUST107500,29.0,Female,Jaipur,32.0,One Year,Standard,619.41,21223.43,Auto Debit,DSL,13.0,1.0,0.0,41.4,69.0,0,0.06143313,0
CUST103489,43.0,Male,Hyderabad,33.0,One Year,Premium,1100.99,34329.88,UPI,Fiber,20.0,1.0,1.0,48.2,20.0,1,0.9531569,1
CUST117150,73.0,Male,Hyderabad,53.0,One Year,Premium,1190.47,63693.37,UPI,Fiber,11.0,1.0,2.0,42.5,83.0,1,0.97205395,1
CUST147779,53.0,Female,Delhi,12.0,Two Year,Premium,1333.19,15705.39,Credit Card,Fiber,,1.0,1.0,46.2,16.0,1,0.9627634,1
CUST140015,21.0,Female,Pune,26.0,Month-to-Month,Standard,746.61,18149.37,Credit Card,Mobile Data,14.0,1.0,0.0,31.0,73.0,0,0.38156655,0
CUST133912,26.0,Male,,32.0,One Year,Standard,760.19,25632.3,Credit Card,Cable,16.0,0.0,1.0,53.5,74.0,1,0.28458637,0
CUST119952,24.0,Male,Ahmedabad,25.0,Month-to-Month,Basic,459.1,11163.48,Debit Card,Fiber,12.0,3.0,2.0,32.7,77.0,0,0.030583832,0
CUST106041,41.0,Female,Mumbai,67.0,Month-to-Month,Standard,849.03,50097.41,Credit Card,Fiber,9.0,2.0,1.0,41.9,52.0,0,0.7835411,1
CUST104276,62.0,Male,Ahmedabad,50.0,One Year,Premium,1395.73,67913.98,Net Banking,Fiber,2.0,2.0,1.0,33.0,84.0,1,0.9848765,1
CUST137264,60.0,Other,Delhi,2.0,,Basic,360.54,674.51,Auto Debit,Fiber,15.0,2.0,0.0,44.9,29.0,0,0.019892158,0
CUST106431,67.0,Female,Ahmedabad,20.0,One Year,Standard,776.41,13486.75,Auto Debit,Cable,5.0,4.0,1.0,15.1,14.0,0,0.60188186,1
CUST108459,41.0,Female,Kolkata,46.0,One Year,Basic,626.52,30256.87,Credit Card,Fiber,19.0,0.0,0.0,59.1,47.0,0,0.022550473,0
CUST134258,40.0,Female,Hyderabad,70.0,Month-to-Month,Basic,556.52,42866.55,Auto Debit,Fiber,12.0,2.0,1.0,38.2,85.0,0,0.027505886,0
CUST108398,28.0,Male,Jaipur,29.0,Month-to-Month,,1406.61,38619.12,Credit Card,Cable,9.0,1.0,0.0,44.4,66.0,1,0.9551562,1
